test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
eps,0.05,Big,QMEGS,48,20,389.3212634162488,"[-0.45159265358979295, 0.25840734641020724, 0.8059073464102071, 0.8284073464102071]","[0.971800776648844, 0.021412362873882262, 0.2323336254556595, 0.028379514067066514]",
eps,0.05,Big,TSRHSE,1600,20,230568.76730726988,"[-28.40208997475043, -15.248599296469541, -4.664525944703998, -0.1311823368598323]","[0.012211093378804605, 4.234345653988087, 28.97566369570498, 15.535386156946815]",
eps,0.05,Big,QFAMES,1600,20,230568.76730726988,"[0.28340734641020715, -0.42659265358979304, 0.0609073464102067, 2.0834073464102065, -0.801592653589793]","[0.2043007766488436, 0.0035876371261176487, 1.3751663745443405, 0.0033795140670666024]",[1 1 0 0 0]
eps,0.01,None,QPE,8,1402.1697472132253,2793.3850432763475,0.14339343023863688,2.7755575615628914e-17,
eps,0.01,None,KQPE,9,2804.3394944264505,5597.7245377027975,0.1433934302386369,0.0,
eps,0.01,None,QMEGS,58,100,2353.2938186530414,"[-2.5710926535897927, -0.5700926535897929, -0.14109265358979312, 1.7799073464102069]","[0.0023007766488437886, 0.1399123628738822, 1.2063336254556591, 2.8578795140670663]",
eps,0.01,None,TSRHSE,1600,100,1152843.8365363488,"[-0.46904181780504245, -0.15415900054525336, 0.28366817252789034, 0.6298168974532065]","[0.010765570306616457, 0.038861527089131764, 0.05624317649865884, 0.003118687949383414]",
eps,0.01,None,QFAMES,1600,100,1152843.8365363488,"[-0.14309265358979312, -0.43009265358979315, 0.28640734641020704, 0.5744073464102067, 0.2384073464102069]","[0.00030077664884378685, 8.76371261175346e-05, 0.000833625455659126, 0.00037951406706671076]",[1 1 1 1 0]
eps,0.01,Small,QPE,8,1402.1697472132253,2793.3850432763475,0.20806386727626217,0.06467043703762526,
eps,0.01,Small,KQPE,9,2804.3394944264505,5597.7245377027975,0.1433934302386369,0.0,
eps,0.01,Small,QMEGS,58,100,2353.2938186530414,"[-2.074592653589793, -0.145092653589793, 1.0274073464102067, 2.9744073464102074]","[0.001699223351156104, 1.6444123628738823, 0.4538336254556591, 2.687620485932934]",
eps,0.01,Small,TSRHSE,1600,100,1152843.8365363488,"[-0.522227786808262, 0.0006184367138911351, 0.5360420205361562, 2.0182367039011786]","[0.14401186695252804, 0.0920474960923513, 0.03753170041839138, 1.731449843423905]",
eps,0.01,Small,QFAMES,1600,100,1152843.8365363488,"[0.5739073464102067, -0.14309265358979312, 0.28590734641020715, -0.43009265358979315, -0.09509265358979328]","[0.00030077664884378685, 8.76371261175346e-05, 0.0003336254556590701, 0.0008795140670666002]",[1 1 1 1 0]
eps,0.01,Big,QPE,8,1402.1697472132253,2793.3850432763475,0.3470121011775013,0.2036186709388644,
eps,0.01,Big,KQPE,9,2804.3394944264505,5597.7245377027975,0.4301802907159107,0.28678686047727375,
eps,0.01,Big,QMEGS,58,100,2353.2938186530414,"[-0.4250926535897928, 0.28790734641020704, 0.8754073464102075, 1.6044073464102069]","[1.7478007766488437, 0.005087637126117872, 0.30183362545565984, 0.0011204859329332906]",
eps,0.01,Big,TSRHSE,1600,100,1152843.8365363488,"[-2.344828247370739, -0.13648495485132028, 1.6141595700820393, 21.245006918313774]","[0.0069084753873166205, 1.9146479566548285, 1.0405858491274915, 20.9582200578365]",
eps,0.01,Big,QFAMES,1600,100,1152843.8365363488,"[-0.42959265358979315, 0.28590734641020704, -0.47809265358979297, 0.2384073464102069, 0.3339073464102073]","[0.3346992233511561, 0.000587637126117535, 0.2396663745443403, 0.0008795140670667112]",[1 1 0 0 0]
eps,0.005,None,QPE,9,2804.3394944264505,5597.7245377027975,0.14339343023863688,2.7755575615628914e-17,
eps,0.005,None,KQPE,10,5608.678988852901,11206.403526555698,0.1433934302386369,0.0,
eps,0.005,None,QMEGS,62,200,4994.089888132578,"[-2.312842653589793, -0.14434265358979306, 0.14415734641020703, 1.0684073464102068]","[0.0009492233511561587, 1.8826623628738821, 0.49483362545565923, 0.14262951406706673]",
eps,0.005,None,TSRHSE,1600,200,2305687.6730726976,"[-0.4273497051731015, -0.13647029699116142, 0.2809010131021188, 0.5846858050749536]","[0.0069231332474754825, 0.002830585542809183, 0.011112084120405985, 0.005885847375154962]",
eps,0.005,None,QFAMES,1600,200,2305687.6730726976,"[0.5736573464102067, -0.4300926535897932, -0.14284265358979306, 0.2864073464102071, 0.598157346410207]","[0.0005507766488438426, 8.763712611747909e-05, 8.362545565909763e-05, 0.00037951406706665525]",[1 1 1 1 0]
eps,0.005,Small,QPE,9,2804.3394944264505,5597.7245377027975,0.21494675192771673,0.07155332168907982,
eps,0.005,Small,KQPE,10,5608.678988852901,11206.403526555698,0.1433934302386369,0.0,
eps,0.005,Small,QMEGS,62,200,4994.089888132578,"[-2.3120926535897928, -1.356842653589793, -0.9258426535897932, -0.14259265358979312]","[0.0008007766488437873, 0.49566236287388254, 2.8856663745443405, 1.643629514067067]",
eps,0.005,Small,TSRHSE,1600,200,2305687.6730726976,"[-0.24521568685394385, 0.03026342360533429, 0.3997968960817777, 8.792023166737934]","[0.10182225661530694, 0.460443714321245, 8.218449445783387, 0.11301003560450396]",
eps,0.005,Small,QFAMES,1600,200,2305687.6730726976,"[0.5736573464102067, -0.14334265358979306, 0.28740734641020704, -0.43059265358979315, 0.5501573464102069]","[5.077664884384214e-05, 0.00041236287388246584, 8.362545565909763e-05, 0.0006204859329332901]",[1 1 1 1 0]
eps,0.005,Big,QPE,9,2804.3394944264505,5597.7245377027975,0.3434272654215354,0.2000338351828985,
eps,0.005,Big,KQPE,10,5608.678988852901,11206.403526555698,0.4301802907159107,0.28678686047727375,
eps,0.005,Big,QMEGS,62,200,4994.089888132578,"[-2.566842653589793, -0.42934265358979323, 0.28140734641020676, 1.7359073464102073]","[2.423449223351156, 0.000837637126117452, 1.1623336254556595, 0.005379514067066993]",
eps,0.005,Big,TSRHSE,1600,200,2305687.6730726976,"[-28.54131406069237, -2.466470616239488, 0.1418371393796587, 24.21154810515995]","[28.397920630453733, 2.036290325523577, 23.6379743842054, 0.14494972109761506]",
eps,0.005,Big,QFAMES,1600,200,2305687.6730726976,"[0.28665734641020707, -0.43034265358979323, -0.45459265358979306, 0.3111573464102069, 0.1539073464102068]","[0.2973007766488437, 0.00016236287388254889, 0.2624163745443407, 0.00012951406706668278]",[1 1 0 0 0]
eps,0.001,None,QPE,11,11217.357977705802,22423.7615042615,0.14339343023863688,2.7755575615628914e-17,
eps,0.001,None,KQPE,12,22434.715955411604,44858.4774596731,0.1433934302386369,0.0,
eps,0.001,None,QMEGS,71,1000,28815.135357099083,"[-1.957892653589793, -1.728542653589793, -0.1431926535897932, 0.15470734641020686]","[0.0002007766488437146, 1.2983623628738823, 2.5314663745443404, 0.1320795140670669]",
eps,0.001,None,TSRHSE,1600,1000,11528438.365363482,"[-0.434233207969582, -0.40208182524310476, -0.14020137623585413, 0.28762862166096204]","[0.0031920540027827737, 0.004052917253671295, 0.9756555461976524, 0.0008417611836882832]",
eps,0.001,None,QFAMES,1600,1000,11528438.365363482,"[-0.14329265358979318, 0.28675734641020745, 0.5735073464102067, -0.4301426535897931, -0.4251426535897932]","[0.00010077664884372561, 3.763712611759562e-05, 6.637454434088585e-05, 2.9514067066305216e-05]",[1 1 1 1 0]
eps,0.001,Small,QPE,11,11217.357977705802,22423.7615042615,0.21422978477652352,0.07083635453788661,
eps,0.001,Small,KQPE,12,22434.715955411604,44858.4774596731,0.1433934302386369,0.0,
eps,0.001,Small,QMEGS,71,1000,28815.135357099083,"[-0.22314265358979324, -0.14399265358979307, 2.363307346410207, 2.961057346410208]","[0.0005992233511561695, 0.20703763712611745, 1.7897336254556593, 2.6742704859329343]",
eps,0.001,Small,TSRHSE,1600,1000,11528438.365363482,"[-8.297111061049584, -0.23899959425680017, 0.0570966372525715, 11.181848239513092]","[0.09560616401816327, 7.866930770333673, 10.608274518558545, 0.22969022322470226]",
eps,0.001,Small,QFAMES,1600,1000,11528438.365363482,"[-0.1433926535897929, 0.5736073464102067, 0.28680734641020744, -0.4301926535897931, 0.5785073464102068]","[7.766488440141828e-07, 1.2362873882398873e-05, 3.362545565910313e-05, 2.0485932933689277e-05]",[1 1 1 1 0]
eps,0.001,Big,QPE,11,11217.357977705802,22423.7615042615,0.3468687077472627,0.2034752775086258,
eps,0.001,Big,KQPE,12,22434.715955411604,44858.4774596731,0.4301802907159107,0.28678686047727375,
eps,0.001,Big,QMEGS,71,1000,28815.135357099083,"[-2.481942653589793, -2.346942653589793, -0.4305926535897928, 0.28775734641020734]","[2.203549223351156, 0.0004123628738821328, 3.0555163745443408, 0.0009704859329335846]",
eps,0.001,Big,TSRHSE,1600,1000,11528438.365363482,"[-8.414137490053502, -0.24963566944134136, 4.251025940800729, 12.90311081274573]","[0.10624223920270445, 7.983957199337591, 3.6774522198461814, 12.616323952268456]",
eps,0.001,Big,QFAMES,1600,1000,11528438.365363482,"[0.28680734641020744, -0.4301926535897931, -0.43504265358979316, 0.2916073464102073, -2.745892653589793]","[0.2916492233511563, 1.2362873882398873e-05, 0.2819663745443403, 2.0485932933689277e-05]",[1 1 0 0 0]
eps,0.0005,None,QPE,12,22434.715955411604,44858.4774596731,0.14339343023863688,2.7755575615628914e-17,
eps,0.0005,None,KQPE,13,44869.43191082321,89727.9093704963,0.1433934302386369,0.0,
eps,0.0005,None,QMEGS,75,2000,61988.59385642861,"[-2.483117653589793, -0.14344265358979302, 0.18803234641020708, 2.470332346410207]","[4.922335115611909e-05, 2.052937362873882, 1.8967586254556594, 0.09875451406706667]",
eps,0.0005,None,TSRHSE,1600,2000,23056876.730726965,"[-0.6329113941854053, -0.20304635566706808, 0.04188130157448345, 0.1039670312397716]","[0.059652925428431175, 0.20273110346949463, 0.5316924193800642, 0.18281982923750215]",
eps,0.0005,None,QFAMES,1600,2000,23056876.730726965,"[-0.4301426535897931, -0.14339265358979303, 0.28680734641020744, 0.5735573464102071, 0.435157346410207]","[7.766488438754049e-07, 3.763712611759562e-05, 1.6374544340558295e-05, 2.0485932933689277e-05]",[1 1 1 1 0]
eps,0.0005,Small,QPE,12,22434.715955411604,44858.4774596731,0.20978458843912576,0.06639115820048885,
eps,0.0005,Small,KQPE,13,44869.43191082321,89727.9093704963,0.1433934302386369,0.0,
eps,0.0005,Small,QMEGS,75,2000,61988.59385642861,"[-1.518892653589793, -1.050067653589793, -0.1432176535897932, 2.447182346410207]","[0.00017577664884371735, 0.6198873628738824, 1.8736086254556592, 1.8056795140670667]",
eps,0.0005,Small,TSRHSE,1600,2000,23056876.730726965,"[-63.1613142612895, -0.004402061538372357, 0.5038083949537427, 34.60126463244887]","[0.13899136870026454, 62.73113397057359, 0.06976532600080487, 34.314477771971596]",
eps,0.0005,Small,QFAMES,1600,2000,23056876.730726965,"[0.5735573464102071, -0.14334265358979303, 0.28680734641020744, -0.4302176535897931, 0.5711073464102073]","[5.07766488438699e-05, 3.736287388239612e-05, 1.6374544340558295e-05, 2.0485932933689277e-05]",[1 1 1 1 0]
eps,0.0005,Big,QPE,12,22434.715955411604,44858.4774596731,0.3470121011775013,0.2036186709388644,
eps,0.0005,Big,KQPE,13,44869.43191082321,89727.9093704963,0.4301802907159107,0.28678686047727375,
eps,0.0005,Big,QMEGS,75,2000,61988.59385642861,"[-2.434942653589793, -2.2915176535897928, -0.4302176535897931, 0.9583073464102074]","[2.148124223351156, 3.736287388239612e-05, 0.3847336254556598, 2.7217295140670665]",
eps,0.0005,Big,TSRHSE,1600,2000,23056876.730726965,"[-12.641402321851142, -0.4241953342732233, -0.07112957264290777, 8.252687493126093]","[0.07226385759572913, 0.0059849564426873725, 7.6791137721715454, 12.928189182328417]",
eps,0.0005,Big,QFAMES,1600,2000,23056876.730726965,"[-0.4301426535897931, 0.28675734641020667, 0.28435734641020716, 2.799782346410207, -0.43259265358979293]","[0.289199223351156, 3.763712611759562e-05, 0.28921637454434046, 2.9514067067082372e-05]",[1 1 0 0 0]
eps,0.0001,None,QPE,15,179477.72764329283,358944.5008354356,0.14339343023863688,2.7755575615628914e-17,
eps,0.0001,None,KQPE,16,358955.45528658567,717899.9561220212,0.1433934302386369,0.0,
eps,0.0001,None,QMEGS,84,10000,352440.4891818364,"[-2.915677653589793, -1.8103376535897928, -0.14340265358979293, 2.4338873464102075]","[9.223351156023574e-06, 1.3801573628738821, 1.8603136254556598, 3.2024645140670667]",
eps,0.0001,None,TSRHSE,1600,10000,115284383.65363482,"[-0.6054475498059034, -0.1459477232637367, 0.15071703007410284, 0.1556102123502793]","[0.0025542930250997964, 0.17526725908999274, 0.42285669088044475, 0.13117664812699445]",
eps,0.0001,None,QFAMES,1600,10000,115284383.65363482,"[0.5735723464102073, -0.4301776535897929, -0.14339265358979292, 0.28678734641020726, 2.6511873464102065]","[7.766488439864272e-07, 2.6371261178104177e-06, 1.3745443403490043e-06, 4.859329335027418e-07]",[1 1 1 1 0]
eps,0.0001,Small,QPE,15,179477.72764329283,358944.5008354356,0.21035816216008033,0.06696473192144342,
eps,0.0001,Small,KQPE,16,358955.45528658567,717899.9561220212,0.1433934302386369,0.0,
eps,0.0001,Small,QMEGS,84,10000,352440.4891818364,"[-2.2226076535897934, -1.489582653589793, -0.14344765358979325, 2.2067723464102076]","[5.4223351156346133e-05, 1.0594023628738822, 1.6331986254556599, 2.509394514067067]",
eps,0.0001,Small,TSRHSE,1600,10000,115284383.65363482,"[-1.0589644429498133, -0.3866709210817183, 1.3849215780556674, 40.62327761378344]","[0.9155710127111764, 0.043509369634192385, 0.8113478571011198, 40.33649075330617]",
eps,0.0001,Small,QFAMES,1600,10000,115284383.65363482,"[-0.14339265358979292, 0.5735723464102073, 0.28679234641020723, -0.43017265358979284, -0.14290265358979273]","[7.766488439864272e-07, 7.637126117843174e-06, 1.3745443403490043e-06, 5.485932933479987e-06]",[1 1 1 1 0]
eps,0.0001,Big,QPE,15,179477.72764329283,358944.5008354356,0.34543477344487633,0.20204134320623943,
eps,0.0001,Big,KQPE,16,358955.45528658567,717899.9561220212,0.4301802907159107,0.28678686047727375,
