test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,400,None,QFAMES,6400,400,75113430.6760654,"[0.13090734641020685, -0.3703426535897929, -9.265358979324055e-05, 0.3701573464102073, -0.47459265358979313, 0.28040734641020676, -0.06746765358979313, 0.14265734641020703, 0.11103234641020683]","[0.0001024087432621168, 9.265358979323634e-05, 8.289843632330873e-05, 7.556359965854575e-05, 0.00010710433481531112, 3.6240904704026855e-05, 7.65251063214456e-06, 0.011757652510632322]",[2 1 1 1 1 1 1 0 0]
T_max,400,Small,QPE,5,211.7920713337944,410.34713820922667,0.2653988669360523,0.10484137791047848,
T_max,400,Small,KQPE,5,211.7920713337944,410.34713820922667,0.3708345446792592,0.0005942998327284066,
T_max,400,Small,QMEGS,66,400,10841.778766057156,"[-1.8804676535897928, -1.2754676535897929, -1.232342653589793, -0.37171765358979264, 0.1287823464102069, 0.3855323464102067, 1.1470323464102072, 1.5661573464102065]","[0.0014774087432618543, 1.8804676535897928, 0.015292101563676108, 0.7576744364003414, 0.8667321043348157, 1.2080362409047039, 0.0021173474893678157, 1.4352576525106318]",
T_max,400,Small,TSRHSE,6400,400,75113430.6760654,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,400,Small,QFAMES,6400,400,75113430.6760654,"[0.3702823464102073, 0.280282346410207, 0.13103234641020683, -0.3703426535897929, 3.2346410206759556e-05, -0.06734265358979313, 0.3582823464102067, 0.2682823464102068, 0.3822823464102068]","[0.0001024087432621168, 3.234641020676377e-05, 4.21015636766775e-05, 0.8329505635996584, 1.789566518445307e-05, 8.875909529597326e-05, 0.0001326525106321308, 0.13738265251063211]",[1 1 1 0 0 0 0 0 0]
T_max,400,Big,QPE,5,211.7920713337944,410.34713820922667,0.2095956846527173,0.16064456019381348,
T_max,400,Big,KQPE,5,211.7920713337944,410.34713820922667,0.10383367251019257,0.26640657233633824,
T_max,400,Big,QMEGS,66,400,10841.778766057156,"[-3.018717653589793, -0.38809265358979345, -0.06509265358979319, 0.28340734641020715, 1.094032346410207, 1.2896573464102072, 2.3955323464102065, 2.557282346410207]","[0.01785240874326266, 2.557282346410207, 0.7237921015636765, 2.5440494364003414, 0.0031071043348157024, 0.0023387590952959197, 1.1587576525106325, 2.264632652510632]",
T_max,400,Big,TSRHSE,6400,400,75113430.6760654,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
